barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491511152_2_1,121063611,600,5,12837,layer IIIu of area 35c,,H376.IV.02,/api/v2/well_known_file_download/149124173
252491511269_2_1,147803970,600,5,127424205,inner SZ in superolateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815670
252491511322_2_4,147806916,600,5,127434771,olfactory bulb,,H376.IIIB.02,/api/v2/well_known_file_download/147825869
252491511212_1_4,147803994,600,5,127401365,red nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147815042
252491511175_1_2,127366691,600,5,113221597,inner CP in posterosuperior (dorsal) parietal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206543
252491511266_2_2,147803600,600,5,127407360,SP in lateral temporal-occipital cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815624
252491511212_2_4,147804108,600,5,113221975,peripheral portion of GPi,,H376.IIIA.02,/api/v2/well_known_file_download/147815050
252491511090_1_1,127366434,600,5,113221385,IZ in caudal cingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/149206216
252491511155_1_3,121063599,600,5,12833,medial parabrachial nucleus,,H376.IV.02,/api/v2/well_known_file_download/149124203
252491511181_1_4,114245718,600,5,12116,inner SZ in posteror frontal cortex (motor cortex),,H376.IV.02,/api/v2/well_known_file_download/121059701
252491511272_2_3,147806606,600,5,127433768,"substantia nigra, reticular part",,H376.IIIB.02,/api/v2/well_known_file_download/147820293
252491511205_1_2,147805078,600,5,127407332,facial nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147817447
252491511168_2_1,114245623,600,5,12075,parafascicular nucleus of thalamus,,H376.IV.02,/api/v2/well_known_file_download/121059779
252491511214_1_3,147803094,600,5,113221815,medial septal nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147815072
252491510955_1_4,146036901,600,5,113221436,caudal ganglionic eminence,,H376.IV.03,/api/v2/well_known_file_download/146039579
252491511213_1_3,147804271,600,5,127408509,basolateral nucleus (basal nucleus),,H376.IIIA.02,/api/v2/well_known_file_download/147815056
252491511289_1_2,147807907,600,5,127434667,upper (rostral) rhombic lip,,H376.IIIB.02,/api/v2/well_known_file_download/147825559
252491511252_2_1,147805812,600,5,127409063,SP in posteror frontal cortex (motor cortex),,H376.IIIB.02,/api/v2/well_known_file_download/147820156
252491511317_2_2,147807598,600,5,127434408,outer SZ in caudal midinferior temporal cortex (area TF),,H376.IIIB.02,/api/v2/well_known_file_download/147825785
